"","city","display_title","Season","y","metric","state","school_closing","workplace_closing","cancel_public_events","restrict_gatherings","stay_at_home","income_support","debt_relief","facial_coverings","vaccination_policy","composite_closing","composite_economic","total_pop_downtown","total_pop_city","pct_singlefam_downtown","pct_singlefam_city","pct_multifam_downtown","pct_multifam_city","pct_mobile_home_and_others_downtown","pct_mobile_home_and_others_city","pct_renter_downtown","pct_renter_city","median_age_downtown","median_age_city","bachelor_plus_downtown","bachelor_plus_city","median_hhinc_downtown","median_hhinc_city","median_rent_downtown","median_rent_city","pct_vacant_downtown","pct_vacant_city","pct_nhwhite_downtown","pct_nhwhite_city","pct_nhblack_downtown","pct_nhblack_city","pct_nhasian_downtown","pct_nhasian_city","pct_hisp_downtown","pct_hisp_city","pct_commute_auto_downtown","pct_commute_auto_city","pct_commute_public_transit_downtown","pct_commute_public_transit_city","pct_commute_bicycle_downtown","pct_commute_bicycle_city","pct_commute_walk_downtown","pct_commute_walk_city","pct_commute_others_downtown","pct_commute_others_city","housing_units_downtown","housing_units_city","average_commute_time_downtown","average_commute_time_city","pct_jobs_agriculture_forestry_fishing_hunting","pct_jobs_mining_quarrying_oil_gas","pct_jobs_utilities","pct_jobs_construction","pct_jobs_manufacturing","pct_jobs_wholesale_trade","pct_jobs_retail_trade","pct_jobs_transport_warehouse","pct_jobs_information","pct_jobs_finance_insurance","pct_jobs_real_estate","pct_jobs_professional_science_techical","pct_jobs_management_of_companies_enterprises","pct_jobs_administrative_support_waste","pct_jobs_educational_services","pct_jobs_healthcare_social_assistance","pct_jobs_arts_entertainment_recreation","pct_jobs_accomodation_food_services","pct_jobs_other","pct_jobs_public_administration","employment_entropy","population_density_downtown","population_density_city","employment_density_downtown","housing_density_downtown","housing_density_city","pct_liberal_leaning","pct_conservative_leaning","pct_other_leaning","region","metro_size"
"1","Albuquerque","Albuquerque, NM","Season_9",0.946517172716001,"city","New Mexico",0,0,0,0,0,0,1,2,5,0,0.380434783,19191,720072,48.76824393,70.37289032,50.62749837,24.1034058,0.604257693,5.52370388,65.15118317,36.56035,35.6,38.065,28.34243563,34.07290112,30366,55396.5,714,905.6,15.14362741,8.605756518,26.58016779,39.03762402,3.084779324,2.507804775,1.667448283,2.461698275,61.44025845,61.44025845,82.73737485,89.99049449,4.191880295,1.672495329,2.200462097,0.957065316,5.259104412,1.801604387,5.611178347,5.578340475,10757,310118,18.96162658,22.42469627,0.056835911,0.072437926,0.474747024,6.255293541,4.436544377,3.960682922,3.412383542,3.455846298,3.576204698,2.469576071,0.782329604,4.542415192,1.357375295,4.39531048,10.08781706,28.52605536,2.243346855,7.584808095,1.972540454,10.33744929,2.472569061,0.001139283,0.00041211,0.005326984,6.16e-06,6.16e-06,61,37,2,"Southwest","medium"
"4","Albuquerque","Albuquerque, NM","Season_9",0.73966560421534,"downtown","New Mexico",0,0,0,0,0,0,1,2,5,0,0.380434783,19191,720072,48.76824393,70.37289032,50.62749837,24.1034058,0.604257693,5.52370388,65.15118317,36.56035,35.6,38.065,28.34243563,34.07290112,30366,55396.5,714,905.6,15.14362741,8.605756518,26.58016779,39.03762402,3.084779324,2.507804775,1.667448283,2.461698275,61.44025845,61.44025845,82.73737485,89.99049449,4.191880295,1.672495329,2.200462097,0.957065316,5.259104412,1.801604387,5.611178347,5.578340475,10757,310118,18.96162658,22.42469627,0.056835911,0.072437926,0.474747024,6.255293541,4.436544377,3.960682922,3.412383542,3.455846298,3.576204698,2.469576071,0.782329604,4.542415192,1.357375295,4.39531048,10.08781706,28.52605536,2.243346855,7.584808095,1.972540454,10.33744929,2.472569061,0.001139283,0.00041211,0.005326984,6.16e-06,6.16e-06,61,37,2,"Southwest","medium"
"7","Albuquerque","Albuquerque, NM","Season_9",0.781614618873729,"relative","New Mexico",0,0,0,0,0,0,1,2,5,0,0.380434783,19191,720072,48.76824393,70.37289032,50.62749837,24.1034058,0.604257693,5.52370388,65.15118317,36.56035,35.6,38.065,28.34243563,34.07290112,30366,55396.5,714,905.6,15.14362741,8.605756518,26.58016779,39.03762402,3.084779324,2.507804775,1.667448283,2.461698275,61.44025845,61.44025845,82.73737485,89.99049449,4.191880295,1.672495329,2.200462097,0.957065316,5.259104412,1.801604387,5.611178347,5.578340475,10757,310118,18.96162658,22.42469627,0.056835911,0.072437926,0.474747024,6.255293541,4.436544377,3.960682922,3.412383542,3.455846298,3.576204698,2.469576071,0.782329604,4.542415192,1.357375295,4.39531048,10.08781706,28.52605536,2.243346855,7.584808095,1.972540454,10.33744929,2.472569061,0.001139283,0.00041211,0.005326984,6.16e-06,6.16e-06,61,37,2,"Southwest","medium"
"10","Atlanta","Atlanta, GA","Season_9",0.55350901160577,"city","Georgia",2,0,0,0,0,0,0.278481013,2,5,0.343478261,0.119565217,6628,1059958,2.933673469,51.44242079,95.72704082,47.82218479,1.339285714,0.735394415,72.52663623,52.60151439,21.8,32.76,23.6724009,49.24088853,20909,60388,1108,1104.35,16.19897959,13.89677988,28.13820157,35.61009021,58.70549185,48.89005036,3.892576946,4.554237055,5.974652987,5.974652987,39.71856559,78.28017972,18.15705856,8.463393975,0.635497049,0.649075643,25.55605992,2.971017161,15.93281888,9.636333505,1568,505851,19.83333333,28.39820968,0,0,0.826131337,0.670976523,0.731541341,1.433821028,0.793467166,1.421571963,12.69547465,5.309969377,1.031643416,12.20619258,5.527050017,5.164341613,5.863899285,10.92208234,2.698877169,7.090847227,3.417488942,22.19462402,2.446574795,0.002452272,0.001084331,0.054369543,1.6e-06,1.6e-06,77,22,1,"Southeast","medium"
"13","Atlanta","Atlanta, GA","Season_9",0.480003612270951,"downtown","Georgia",2,0,0,0,0,0,0.278481013,2,5,0.343478261,0.119565217,6628,1059958,2.933673469,51.44242079,95.72704082,47.82218479,1.339285714,0.735394415,72.52663623,52.60151439,21.8,32.76,23.6724009,49.24088853,20909,60388,1108,1104.35,16.19897959,13.89677988,28.13820157,35.61009021,58.70549185,48.89005036,3.892576946,4.554237055,5.974652987,5.974652987,39.71856559,78.28017972,18.15705856,8.463393975,0.635497049,0.649075643,25.55605992,2.971017161,15.93281888,9.636333505,1568,505851,19.83333333,28.39820968,0,0,0.826131337,0.670976523,0.731541341,1.433821028,0.793467166,1.421571963,12.69547465,5.309969377,1.031643416,12.20619258,5.527050017,5.164341613,5.863899285,10.92208234,2.698877169,7.090847227,3.417488942,22.19462402,2.446574795,0.002452272,0.001084331,0.054369543,1.6e-06,1.6e-06,77,22,1,"Southeast","medium"
"16","Atlanta","Atlanta, GA","Season_9",0.890751209813469,"relative","Georgia",2,0,0,0,0,0,0.278481013,2,5,0.343478261,0.119565217,6628,1059958,2.933673469,51.44242079,95.72704082,47.82218479,1.339285714,0.735394415,72.52663623,52.60151439,21.8,32.76,23.6724009,49.24088853,20909,60388,1108,1104.35,16.19897959,13.89677988,28.13820157,35.61009021,58.70549185,48.89005036,3.892576946,4.554237055,5.974652987,5.974652987,39.71856559,78.28017972,18.15705856,8.463393975,0.635497049,0.649075643,25.55605992,2.971017161,15.93281888,9.636333505,1568,505851,19.83333333,28.39820968,0,0,0.826131337,0.670976523,0.731541341,1.433821028,0.793467166,1.421571963,12.69547465,5.309969377,1.031643416,12.20619258,5.527050017,5.164341613,5.863899285,10.92208234,2.698877169,7.090847227,3.417488942,22.19462402,2.446574795,0.002452272,0.001084331,0.054369543,1.6e-06,1.6e-06,77,22,1,"Southeast","medium"
"19","Austin","Austin, TX","Season_9",0.791085329286571,"city","Texas",0,0,0,0,0,1,1,1.607594937,5,0,0.858695652,10848,1586610,2.064276885,59.63389515,97.68850433,37.19396193,0.247218789,3.172142923,66.73964034,45.33480943,35.1,35.46851852,77.98002912,48.84715011,122182,85172.09259,2262,1396.055556,20.95179234,7.468910356,75.87573746,50.25116443,3.392330383,7.354989569,6.102507375,7.068970951,12.85029499,12.85029499,55.95252661,84.47592297,2.69179004,2.486418383,5.750642359,0.875927596,15.90603206,1.834847539,19.69900893,10.32688351,8090,635501,20.79585799,26.17615755,0.01109872,0.382113091,1.393153675,2.260967914,1.419050689,1.302249869,3.768279857,0.397439895,5.420932187,2.60661378,2.039522015,12.86975916,0.721416831,3.673676478,21.85338062,5.542489602,2.117741569,9.187626512,3.191674903,19.84081264,2.407722827,0.00257175,0.000539085,0.044856511,2.75e-06,2.75e-06,63,35,2,"Southwest","large"
"22","Austin","Austin, TX","Season_9",0.528918369104792,"downtown","Texas",0,0,0,0,0,1,1,1.607594937,5,0,0.858695652,10848,1586610,2.064276885,59.63389515,97.68850433,37.19396193,0.247218789,3.172142923,66.73964034,45.33480943,35.1,35.46851852,77.98002912,48.84715011,122182,85172.09259,2262,1396.055556,20.95179234,7.468910356,75.87573746,50.25116443,3.392330383,7.354989569,6.102507375,7.068970951,12.85029499,12.85029499,55.95252661,84.47592297,2.69179004,2.486418383,5.750642359,0.875927596,15.90603206,1.834847539,19.69900893,10.32688351,8090,635501,20.79585799,26.17615755,0.01109872,0.382113091,1.393153675,2.260967914,1.419050689,1.302249869,3.768279857,0.397439895,5.420932187,2.60661378,2.039522015,12.86975916,0.721416831,3.673676478,21.85338062,5.542489602,2.117741569,9.187626512,3.191674903,19.84081264,2.407722827,0.00257175,0.000539085,0.044856511,2.75e-06,2.75e-06,63,35,2,"Southwest","large"
"25","Austin","Austin, TX","Season_9",0.669820614074378,"relative","Texas",0,0,0,0,0,1,1,1.607594937,5,0,0.858695652,10848,1586610,2.064276885,59.63389515,97.68850433,37.19396193,0.247218789,3.172142923,66.73964034,45.33480943,35.1,35.46851852,77.98002912,48.84715011,122182,85172.09259,2262,1396.055556,20.95179234,7.468910356,75.87573746,50.25116443,3.392330383,7.354989569,6.102507375,7.068970951,12.85029499,12.85029499,55.95252661,84.47592297,2.69179004,2.486418383,5.750642359,0.875927596,15.90603206,1.834847539,19.69900893,10.32688351,8090,635501,20.79585799,26.17615755,0.01109872,0.382113091,1.393153675,2.260967914,1.419050689,1.302249869,3.768279857,0.397439895,5.420932187,2.60661378,2.039522015,12.86975916,0.721416831,3.673676478,21.85338062,5.542489602,2.117741569,9.187626512,3.191674903,19.84081264,2.407722827,0.00257175,0.000539085,0.044856511,2.75e-06,2.75e-06,63,35,2,"Southwest","large"
"28","Bakersfield","Bakersfield, CA","Season_9",1.38592868535585,"city","California",1,1,0.392405063,0,0,0.430379747,1.392405063,2,5,0.410869565,0.782608696,12325,607203,42.99135663,75.23131853,48.158587,20.77182143,8.85005637,3.996860044,68.22051937,43.00188897,30.2,28.48571429,19.64728575,17.85384136,33324,54390.42857,858,1022.857143,11.72491545,6.430832342,36.5030426,32.66617589,13.168357,5.326554711,2.223123732,4.906266932,43.65111562,43.65111562,82.0397539,92.449573,2.792238523,0.953006901,1.206814955,0.388939962,5.489824894,0.82821333,8.471367724,5.380266809,5322,197455,17.39135864,23.08102676,3.345057785,4.021606489,0.376857368,5.568516259,3.01126983,2.598521283,4.854281818,2.765415261,1.584595506,1.482305649,1.494867562,5.069628885,1.830450075,9.739071136,4.073648697,23.53384538,1.511018592,6.959299404,3.327112196,12.85263082,2.609901501,0.001138152,0.000182256,0.005145832,1.6e-06,1.6e-06,44,54,2,"Pacific","medium"
