,city,metric,week,weekly_lq
1,New York,downtown,2/24/2020,1.02
2,New York,downtown,3/2/2020,0.79
3,New York,downtown,3/9/2020,0.73
4,New York,downtown,3/16/2020,0.23
5,New York,downtown,3/23/2020,0.165
6,New York,downtown,3/30/2020,0.1
7,New York,downtown,4/6/2020,0.12
8,New York,downtown,4/13/2020,0.13
9,New York,downtown,4/20/2020,0.13
10,New York,downtown,4/27/2020,0.13
11,New York,downtown,5/4/2020,0.12
12,New York,downtown,5/11/2020,0.15
13,New York,downtown,5/18/2020,0.15
14,New York,downtown,5/25/2020,0.13
15,New York,downtown,6/1/2020,0.15
16,New York,downtown,6/8/2020,0.17
17,New York,downtown,6/15/2020,0.2
18,New York,downtown,6/22/2020,0.19
19,New York,downtown,6/29/2020,0.16
20,New York,downtown,7/6/2020,0.23
21,New York,downtown,7/13/2020,0.21
22,New York,downtown,7/20/2020,0.22
23,New York,downtown,7/27/2020,0.18
24,New York,downtown,8/3/2020,0.19
25,New York,downtown,8/10/2020,0.24
26,New York,downtown,8/17/2020,0.28
27,New York,downtown,8/24/2020,0.27
28,New York,downtown,8/31/2020,0.25
29,New York,downtown,9/7/2020,0.3
30,New York,downtown,9/14/2020,0.295
31,New York,downtown,9/21/2020,0.29
32,New York,downtown,9/28/2020,0.26
33,New York,downtown,10/5/2020,0.27
34,New York,downtown,10/12/2020,0.27
35,New York,downtown,10/19/2020,0.27
36,New York,downtown,10/26/2020,0.23
37,New York,downtown,11/2/2020,0.23
38,New York,downtown,11/9/2020,0.25
39,New York,downtown,11/16/2020,0.26
40,New York,downtown,11/23/2020,0.19
41,New York,downtown,11/30/2020,0.23
42,New York,downtown,12/7/2020,0.24
43,New York,downtown,12/14/2020,0.19
44,New York,downtown,12/21/2020,0.2
45,New York,downtown,12/28/2020,0.19
46,New York,downtown,1/4/2021,0.19
47,New York,downtown,1/11/2021,0.28
48,New York,downtown,1/18/2021,0.24
49,New York,downtown,1/25/2021,0.26
50,New York,downtown,2/1/2021,0.21
51,New York,downtown,2/8/2021,0.31
52,New York,downtown,2/15/2021,0.25
53,New York,downtown,2/22/2021,0.31
54,New York,downtown,3/1/2021,0.31
55,New York,downtown,3/8/2021,0.32
56,New York,downtown,3/15/2021,0.28
57,New York,downtown,3/22/2021,0.26
58,New York,downtown,3/29/2021,0.28
59,New York,downtown,4/5/2021,0.32
60,New York,downtown,4/12/2021,0.27
61,New York,downtown,4/19/2021,0.27
62,New York,downtown,4/26/2021,0.29
63,New York,downtown,5/3/2021,0.3
64,New York,downtown,5/10/2021,0.37
65,New York,downtown,5/17/2021,0.38
66,New York,downtown,5/24/2021,0.33
67,New York,downtown,5/31/2021,0.35
68,New York,downtown,6/7/2021,0.41
69,New York,downtown,6/14/2021,0.46
70,New York,downtown,6/21/2021,0.44
71,New York,downtown,6/28/2021,0.38
72,New York,downtown,7/5/2021,0.52
73,New York,downtown,7/12/2021,0.47
74,New York,downtown,7/19/2021,0.5
75,New York,downtown,7/26/2021,0.43
76,New York,downtown,8/2/2021,0.42
77,New York,downtown,8/9/2021,0.48
78,New York,downtown,8/16/2021,0.47
79,New York,downtown,8/23/2021,0.43
80,New York,downtown,8/30/2021,0.42
