,city,downtown_cbg
0,New York,340179801001
1,New York,360470001001
2,New York,360470003015
3,New York,360470007001
4,New York,360470047001
5,New York,360610001001
6,New York,360610005000
7,New York,360610005001
8,New York,360610005002
9,New York,360610007001
10,New York,360610007002
11,New York,360610007003
12,New York,360610007004
13,New York,360610007005
14,New York,360610007006
15,New York,360610007007
16,New York,360610007008
17,New York,360610007009
18,New York,360610009000
19,New York,360610009001
20,New York,360610009002
21,New York,360610013001
22,New York,360610013002
23,New York,360610013003
24,New York,360610013004
25,New York,360610013005
26,New York,360610015010
27,New York,360610015020
28,New York,360610015021
29,New York,360610015022
30,New York,360610015028
31,New York,360610021003
32,New York,360610074005
33,New York,360610076001
34,New York,360610080001
35,New York,360610080005
36,New York,360610080006
37,New York,360610082001
38,New York,360610082002
39,New York,360610084001
40,New York,360610084002
41,New York,360610086013
42,New York,360610086020
43,New York,360610086021
44,New York,360610086030
45,New York,360610086034
46,New York,360610088001
47,New York,360610088002
48,New York,360610088003
49,New York,360610088004
50,New York,360610088005
51,New York,360610088006
52,New York,360610088007
53,New York,360610090001
54,New York,360610090002
55,New York,360610090003
56,New York,360610090004
57,New York,360610090005
58,New York,360610090006
59,New York,360610090007
60,New York,360610092001
61,New York,360610092002
62,New York,360610092003
63,New York,360610094001
64,New York,360610094002
65,New York,360610096001
66,New York,360610096002
67,New York,360610098003
68,New York,360610098004
69,New York,360610098005
70,New York,360610099030
71,New York,360610099031
72,New York,360610099032
73,New York,360610100001
74,New York,360610100002
75,New York,360610102001
76,New York,360610102002
77,New York,360610104001
78,New York,360610109001
79,New York,360610111001
80,New York,360610111002
81,New York,360610111003
82,New York,360610113001
83,New York,360610115001
84,New York,360610115002
85,New York,360610117000
86,New York,360610117001
87,New York,360610117002
88,New York,360610117003
89,New York,360610119001
90,New York,360610119002
91,New York,360610121011
92,New York,360610121012
93,New York,360610121021
94,New York,360610121022
95,New York,360610121023
96,New York,360610121024
97,New York,360610125001
98,New York,360610125002
99,New York,360610125003
100,New York,360610125004
101,New York,360610127002
102,New York,360610127003
103,New York,360610129010
104,New York,360610129011
105,New York,360610129012
106,New York,360610129013
107,New York,360610129014
108,New York,360610129021
109,New York,360610129022
110,New York,360610129023
111,New York,360610131001
112,New York,360610131002
113,New York,360610317031
114,New York,360610317033
115,New York,360610317041
116,New York,360610317043
117,New York,360610317044
118,New York,360610319001
119,Los Angeles,060372060501
120,Los Angeles,060372060511
121,Los Angeles,060372060512
122,Los Angeles,060372060521
123,Los Angeles,060372060531
124,Los Angeles,060372062011
125,Los Angeles,060372062012
126,Los Angeles,060372062021
127,Los Angeles,060372063011
128,Los Angeles,060372063021
129,Los Angeles,060372063022
130,Los Angeles,060372063031
131,Los Angeles,060372073031
132,Los Angeles,060372073032
133,Los Angeles,060372073041
134,Los Angeles,060372073042
135,Los Angeles,060372073051
136,Los Angeles,060372073061
137,Los Angeles,060372073062
138,Los Angeles,060372073071
139,Los Angeles,060372073081
140,Los Angeles,060372074001
141,Los Angeles,060372075011
142,Los Angeles,060372075012
143,Los Angeles,060372075021
144,Los Angeles,060372075022
145,Los Angeles,060372077111
146,Los Angeles,060372077121
147,Los Angeles,060372077122
148,Los Angeles,060372079012
149,Los Angeles,060372079021
150,Los Angeles,060372080011
151,Los Angeles,060372083011
152,Los Angeles,060372083023
153,Los Angeles,060372084011
154,Los Angeles,060372089022
155,Los Angeles,060372089041
156,Los Angeles,060372089042
157,Los Angeles,060372091031
158,Los Angeles,060372091032
159,Los Angeles,060372091041
160,Los Angeles,060372091051
161,Los Angeles,060372091061
162,Los Angeles,060372092011
163,Los Angeles,060372092021
164,Los Angeles,060372093001
165,Los Angeles,060372093002
166,Los Angeles,060372093003
167,Los Angeles,060372094031
168,Los Angeles,060372094032
169,Los Angeles,060372100102
170,Los Angeles,060372260021
171,Chicago,170310815003
172,Chicago,170310816001
173,Chicago,170310817002
174,Chicago,170310818002
175,Chicago,170312801001
176,Chicago,170312801002
177,Chicago,170312819001
178,Chicago,170312819002
179,Chicago,170312819003
180,Chicago,170313201011
181,Chicago,170313201012
182,Chicago,170313201013
183,Chicago,170313201014
184,Chicago,170313201021
185,Chicago,170313201022
186,Chicago,170313204001
187,Chicago,170318391001
188,Chicago,170318391002
189,Chicago,170318419001
190,Houston,482011000011
191,Houston,482011000012
192,Houston,482012114003
193,Houston,482012123003
194,Houston,482013101011
195,Houston,482013101012
196,Houston,482013101021
197,Houston,482013101022
198,Houston,482013125011
199,Houston,482013125012
200,Houston,482013125021
201,Houston,482013125022
202,Houston,482013126021
203,Houston,482013126022
204,Houston,482013126032
205,Houston,482014101012
206,Houston,482014101021
207,Houston,482014101022
208,Houston,482014105022
209,Houston,482014106011
210,Houston,482014106021
211,Houston,482014106022
212,Houston,482014107061
213,Houston,482014119021
214,Houston,482015101001
215,Houston,482019802001
216,Houston,482019807001
217,Phoenix,040131105013
218,Phoenix,040131105022
219,Phoenix,040131106004
220,Phoenix,040131117004
221,Phoenix,040131118001
222,Phoenix,040131118002
223,Phoenix,040131118003
224,Phoenix,040131118004
225,Phoenix,040131119001
226,Phoenix,040131119002
227,Phoenix,040131129001
228,Phoenix,040131129002
229,Phoenix,040131129003
230,Phoenix,040131130001
231,Phoenix,040131130002
232,Phoenix,040131131001
233,Phoenix,040131131002
234,Phoenix,040131131003
235,Phoenix,040131132021
236,Phoenix,040131132022
237,Phoenix,040131132041
238,Phoenix,040131140002
239,Phoenix,040131140003
240,Phoenix,040131140004
241,Phoenix,040131141001
242,Phoenix,040131142001
243,Phoenix,040131143011
244,Phoenix,040131143022
245,Phoenix,040131148003
246,Phoenix,040131149001
247,Phoenix,040131149002
248,Phoenix,040131149003
249,Phoenix,040131154001
250,Phoenix,040131154002
251,Phoenix,040131172002
252,Phoenix,040131172003
253,Philadelphia,340076007001
254,Philadelphia,340076103001
255,Philadelphia,340076103004
256,Philadelphia,421010001011
257,Philadelphia,421010001012
258,Philadelphia,421010001013
259,Philadelphia,421010001014
260,Philadelphia,421010001015
261,Philadelphia,421010001021
262,Philadelphia,421010001022
