city,display_title,state,rec_2020.08,rec_2020.09,rec_2020.1,rec_2020.11,rec_2020.12,rec_2020.13,rec_2020.14,rec_2020.15,rec_2020.16,rec_2020.17,rec_2020.18,rec_2020.19,rec_2020.2,rec_2020.21,rec_2020.22,rec_2020.23,rec_2020.24,rec_2020.25,rec_2020.26,rec_2020.27,rec_2020.28,rec_2020.29,rec_2020.3,rec_2020.31,rec_2020.32,rec_2020.33,rec_2020.34,rec_2020.35,rec_2020.36,rec_2020.37,rec_2020.38,rec_2020.39,rec_2020.4,rec_2020.41,rec_2020.42,rec_2020.43,rec_2020.44,rec_2020.45,rec_2020.46,rec_2020.47,rec_2020.48,rec_2020.49,rec_2020.5,rec_2020.51,rec_2020.52,rec_2020.53,rec_2021.01,rec_2021.02,rec_2021.03,rec_2021.04,rec_2021.05,rec_2021.06,rec_2021.07,rec_2021.08,rec_2021.09,rec_2021.1,rec_2021.11,rec_2021.12,rec_2021.13,rec_2021.14,rec_2021.15,rec_2021.16,rec_2021.17,rec_2021.18,rec_2021.19,rec_2021.2,rec_2021.21,rec_2021.22,rec_2021.23,rec_2021.24,rec_2021.25,rec_2021.26,rec_2021.27,rec_2021.28,rec_2021.29,rec_2021.3,rec_2021.31,rec_2021.32,rec_2021.33,rec_2021.34,rec_2021.35,rec_2021.36,rec_2021.37,rec_2021.38,rec_2021.39,rec_2021.4,rec_2021.41,rec_2021.42,rec_2021.43,rec_2021.44,rec_2021.45,rec_2021.46,rec_2021.47,rec_2021.48,rec_2021.49,rec_2021.5,rec_2021.51,rec_2021.52,rec_2022.01,rec_2022.02,rec_2022.03,rec_2022.04,rec_2022.05,rec_2022.06,rec_2022.07,rec_2022.08,period_1,period_2,period_3,period_4,period_4a,period_4b,rate_of_recovery,omicron_resilience
Albuquerque,Albuquerque, NM,1.06,0.87,0.83,0.82,0.785,0.75,0.8,0.76,0.79,0.86,0.8,0.79,0.68,0.7,0.72,0.65,0.69,0.66,0.64,0.67,0.66,0.64,0.58,0.68,0.7,0.71,0.79,0.82,0.78,0.795,0.81,0.76,0.75,0.82,0.73,0.64,1.12,0.64,0.75,0.61,0.83,0.65,0.65,0.64,0.77,null,0.84,0.66,0.58,0.76,0.7,0.65,0.63,0.74,0.73,0.58,0.56,0.55,0.61,0.68,0.62,0.63,0.7,0.69,0.71,0.69,0.69,0.72,0.7,0.68,0.7,0.71,0.74,0.68,0.75,0.71,0.7,0.79,0.9,0.86,0.85,0.84,0.83,0.83,0.81,0.8,0.79,0.73,0.76,0.73,0.75,0.76,0.61,0.93,0.7,0.67,0.65,0.81,0.89,0.79,1.69,1.65,1.64,1.39,1.29,1.34,0.742115385,0.7375,0.690769231,0.94037037,0.774210526,1.335,1.267148465,1.724337186
Atlanta,Atlanta, GA,0.84,0.96,0.83,0.47,0.45,0.43,0.37,0.4,0.44,0.6,0.52,0.49,0.52,0.42,0.62,0.47,0.54,0.49,0.48,0.51,0.36,0.36,0.26,0.48,0.41,0.53,0.6,0.41,0.55,0.675,0.8,0.57,0.53,0.44,0.33,0.4,0.35,0.3,0.34,0.24,0.4,0.28,0.35,0.27,0.34,null,0.45,0.41,0.27,0.41,0.4,0.62,0.33,0.4,0.6,0.39,0.37,0.44,0.79,0.4,0.44,0.56,0.45,0.42,0.41,0.46,0.44,0.47,0.48,0.53,0.52,0.58,0.49,0.49,0.53,0.48,0.53,0.51,0.79,0.92,0.94,1.01,0.81,0.89,0.96,0.84,0.55,0.51,0.79,0.71,0.64,0.65,0.39,0.9,0.43,0.51,0.39,0.57,0.56,0.69,0.64,0.79,0.61,0.8,0.82,0.57,0.509615385,0.425576923,0.498846154,0.69962963,0.705789474,0.685,1.372858141,0.97054437
Austin,Austin, TX,1.08,0.8,0.61,0.36,0.37,0.38,0.39,0.38,0.37,0.39,0.37,0.4,0.44,0.47,0.59,0.49,0.48,0.48,0.45,0.4,0.43,0.38,0.43,0.45,0.56,0.58,0.7,0.69,0.6,0.61,0.62,0.66,0.67,0.64,0.6,0.56,0.88,0.57,0.72,0.56,0.7,0.57,0.62,0.53,0.75,null,0.58,0.56,0.52,0.57,0.54,0.56,0.48,0.58,0.6,0.48,0.53,0.61,0.62,0.63,0.66,0.63,0.65,0.59,0.62,0.64,0.65,0.71,0.65,0.58,0.67,0.68,0.62,0.69,0.6,0.62,0.59,0.66,0.68,0.71,0.75,0.68,0.78,0.75,0.72,0.78,0.72,0.64,0.66,0.69,0.71,0.72,0.59,0.82,0.67,0.6,0.56,0.94,0.5,0.56,0.53,0.63,0.86,0.77,0.66,0.63,0.481923077,0.617692308,0.624615385,0.69,0.71,0.6425,1.431763767,0.904929577
Bakersfield,Bakersfield, CA,1.03,0.96,0.91,0.85,0.82,0.79,0.78,0.76,0.79,0.75,0.76,0.81,0.81,0.81,0.8,0.86,0.8,0.81,0.79,0.8,0.81,0.83,0.79,0.85,0.83,0.98,0.98,1,0.96,0.985,1.01,1.03,0.93,0.89,0.89,0.9,0.9,0.82,0.88,0.76,0.99,0.82,0.82,0.77,0.98,null,0.98,0.87,0.73,0.88,0.89,0.81,0.83,0.77,0.86,0.88,0.79,0.85,0.8,0.84,0.88,0.92,0.87,0.87,0.88,0.86,0.9,0.74,0.85,0.81,0.83,0.89,0.84,0.87,0.88,0.88,0.9,0.93,0.95,0.93,0.98,0.95,0.95,1.02,1.05,0.98,0.93,0.88,0.87,0.84,0.88,0.86,0.79,1,0.79,0.79,0.77,0.94,0.9,0.89,0.71,0.84,0.86,0.75,0.79,0.79,0.83,0.896346154,0.859230769,0.878888889,0.905263158,0.81625,1.058902276,0.901671512
Baltimore,Baltimore, MD,1,1.03,0.76,0.56,0.59,0.62,0.48,0.57,0.53,0.57,0.49,0.55,0.6,0.88,0.65,0.57,0.67,0.77,0.58,0.62,0.58,0.52,0.59,0.54,0.68,0.86,0.61,0.76,1.52,1.105,0.69,0.7,0.68,0.59,0.63,0.66,0.91,0.65,0.99,0.73,0.88,0.72,0.64,0.64,0.74,null,0.7,0.57,0.6,0.71,0.63,0.64,0.63,0.65,0.7,0.68,0.81,1.04,0.88,0.7,0.68,0.63,0.75,0.65,0.67,0.65,0.61,0.75,0.87,0.64,0.75,0.6,0.74,0.7,0.73,0.73,0.65,0.61,0.75,0.96,0.69,0.78,1.03,1.07,0.94,0.98,0.93,0.79,1.01,1.12,0.93,0.95,1.05,0.87,0.81,0.8,1.08,1.05,1.01,0.9,0.85,0.85,1.09,0.76,1.17,0.96,0.648461538,0.743269231,0.716153846,0.941851852,0.938947368,0.94875,1.452440578,1.010440022
Boston,Boston, MA,1.01,0.96,0.84,0.41,0.365,0.32,0.28,0.24,0.25,0.33,0.3,0.28,0.27,0.24,0.31,0.3,0.35,0.36,0.38,0.36,0.45,0.43,0.37,0.45,0.44,0.55,0.6,0.6,0.6,0.65,0.7,0.61,0.58,0.54,0.57,0.52,0.45,0.47,0.5,0.5,0.53,0.5,0.41,0.43,0.47,null,0.55,0.46,0.43,0.51,0.46,0.44,0.45,0.51,0.53,0.5,0.52,0.55,0.66,0.58,0.51,0.56,0.62,0.57,0.57,0.63,0.58,0.62,0.66,0.75,0.77,0.68,0.72,0.75,0.86,0.77,0.8,0.76,0.82,0.75,0.69,0.69,0.65,0.71,0.65,0.65,0.65,0.68,0.59,0.63,0.63,0.58,0.58,0.6,0.52,0.51,0.44,0.71,0.43,0.43,0.42,0.39,0.41,0.49,0.51,0.63,0.417115385,0.520384615,0.648076923,0.578518519,0.626842105,0.46375,1.386950805,0.739819479
Calgary,Calgary, AB,0.85,0.83,0.79,0.57,0.525,0.48,0.47,0.44,0.46,0.46,0.44,0.45,0.43,0.45,0.44,0.46,0.47,0.49,0.49,0.43,0.41,0.52,0.46,0.46,0.52,0.53,0.54,0.51,0.52,0.535,0.55,0.55,0.56,0.51,0.52,0.5,0.55,0.49,0.52,0.45,0.45,0.43,0.38,0.41,0.58,null,0.59,0.41,0.4,0.44,0.47,0.45,0.47,0.48,0.47,0.46,0.47,0.46,0.48,0.48,0.45,0.46,0.45,0.44,0.44,0.41,0.41,0.4,0.43,0.44,0.48,0.48,0.5,0.53,0.53,0.5,0.48,0.55,0.54,0.54,0.47,0.49,0.44,0.42,0.44,0.44,0.42,0.41,0.4,0.42,0.4,0.41,0.42,0.42,0.41,0.39,0.37,0.55,0.53,0.36,0.37,0.42,0.48,0.48,0.51,0.54,0.5125,0.491730769,0.47,0.442592593,0.434736842,0.46125,0.863595303,1.060986683
Charlotte,Charlotte, NC,1.08,1,0.83,0.58,0.605,0.63,0.59,0.53,0.48,0.5,0.49,0.45,0.5,0.75,0.6,0.47,0.45,0.59,0.56,0.59,0.53,0.5,0.47,0.55,0.94,0.69,0.54,0.6,0.65,0.565,0.48,0.58,0.47,0.6,0.83,0.64,1.04,1.15,0.85,0.53,0.63,0.43,0.52,0.51,0.57,null,0.47,0.4,0.28,0.43,0.39,0.52,0.43,0.42,0.43,0.44,0.35,0.36,0.44,0.46,0.54,0.48,0.55,0.5,0.51,0.46,0.67,0.64,0.51,0.48,0.49,0.62,0.54,0.5,0.49,0.59,0.57,0.57,0.51,0.63,0.88,0.6,0.56,0.52,0.59,0.53,0.67,0.59,0.59,0.59,0.53,0.69,0.42,0.75,0.57,0.39,0.61,0.91,0.44,0.68,0.34,0.49,0.68,0.66,0.5,0.63,0.613653846,0.580961538,0.504615385,0.594074074,0.611578947,0.5525,0.968093132,0.903399312
Chicago,Chicago, IL,1.03,0.86,0.81,0.4,0.34,0.28,0.26,0.25,0.24,0.3,0.25,0.26,0.25,0.23,0.19,0.26,0.3,0.32,0.4,0.39,0.32,0.32,0.3,0.29,0.29,0.4,0.42,0.65,0.51,0.525,0.54,0.5,0.49,0.42,0.46,0.34,0.54,0.4,0.49,0.33,0.44,0.35,0.41,0.28,0.32,null,0.42,0.35,0.3,0.4,0.42,0.32,0.32,0.38,0.4,0.38,0.37,0.4,0.47,0.37,0.35,0.34,0.45,0.36,0.48,0.41,0.43,0.46,0.45,0.44,0.49,0.48,0.57,0.48,0.53,0.82,0.44,0.51,0.59,0.57,0.58,0.6,0.71,0.68,0.6,0.6,0.51,0.47,0.45,0.52,0.49,0.77,0.75,0.62,0.51,0.54,0.52,0.62,0.52,0.66,0.56,0.61,0.7,0.49,0.64,0.62,0.366923077,0.420961538,0.455769231,0.589259259,0.584736842,0.6,1.605947667,1.02610261
Cincinnati,Cincinnati, OH,0.9,0.79,0.71,0.56,0.46,0.36,0.43,0.43,0.47,0.44,0.35,0.43,0.37,0.44,0.36,0.48,0.44,0.47,0.46,0.43,0.56,0.46,0.39,0.52,0.41,0.56,0.64,0.65,0.55,0.565,0.58,0.62,0.67,0.49,0.64,0.57,0.81,0.53,0.58,0.51,0.57,0.61,0.47,0.58,0.52,null,0.52,0.54,0.5,0.5,0.51,0.61,0.47,0.53,0.52,0.51,0.56,0.53,0.57,0.66,0.63,0.62,0.66,0.49,0.57,0.63,0.56,0.52,0.88,0.53,0.82,1.03,0.52,0.97,0.87,0.57,0.96,0.44,0.86,0.63,0.88,0.76,0.89,0.72,0.78,0.85,0.52,0.62,0.65,0.84,0.62,0.7,0.78,0.78,0.78,0.52,0.75,0.88,0.56,0.82,0.55,0.57,0.51,0.7,0.65,0.57,0.487692308,0.569423077,0.654230769,0.699259259,0.734210526,0.61625,1.433812361,0.839336918
