,display_title,region,week,color,downtown,city,relative
1,"Calgary, AB",Canada,4/6/2020,#e41a1c,0.43,0.76,0.535
2,"Ottawa, ON",Canada,4/6/2020,#e41a1c,0.459090909,0.785,0.546363636
3,"Edmonton, AB",Canada,4/6/2020,#e41a1c,0.513181818,0.720909091,0.702272727
4,"Mississauga, ON",Canada,4/6/2020,#e41a1c,0.767727273,0.983181818,0.772727273
5,"Winnipeg, MB",Canada,4/6/2020,#e41a1c,0.584090909,0.817272727,0.704090909
6,"Vancouver, BC",Canada,4/6/2020,#e41a1c,0.385454545,0.557727273,0.669090909
7,"Quebec, QC",Canada,4/6/2020,#e41a1c,0.381363636,0.618636364,0.593181818
8,"Halifax, NS",Canada,4/6/2020,#e41a1c,0.463636364,0.796363636,0.560909091
9,"London, ON",Canada,4/6/2020,#e41a1c,0.36,0.66,0.54
10,"Portland, OR",Pacific,4/6/2020,#984ea3,0.598181818,0.738636364,0.772272727
11,"Las Vegas, NV",Southwest,4/6/2020,#e6ab02,0.537727273,0.7,0.745
12,"Detroit, MI",Midwest,4/6/2020,#377eb8,0.281363636,0.712272727,0.357272727
13,"Memphis, TN",Southeast,4/6/2020,#ff7f00,0.507727273,0.799545455,0.622727273
14,"Louisville, KY",Midwest,4/6/2020,#377eb8,0.649545455,0.765454545,0.837727273
15,"Baltimore, MD",Northeast,4/6/2020,#4daf4a,0.545,0.876818182,0.613636364
16,"Milwaukee, WI",Midwest,4/6/2020,#377eb8,0.544545455,0.762272727,0.693181818
17,"Albuquerque, NM",Southwest,4/6/2020,#e6ab02,0.669090909,0.827272727,0.805
18,"Tucson, AZ",Southwest,4/6/2020,#e6ab02,0.57,0.871818182,0.642727273
19,"New York, NY",Northeast,4/6/2020,#4daf4a,0.311818182,0.747272727,0.380909091
20,"Los Angeles, CA",Pacific,4/6/2020,#984ea3,0.508636364,0.725909091,0.688636364
21,"Chicago, IL",Midwest,4/6/2020,#377eb8,0.293636364,0.688636364,0.384090909
22,"Houston, TX",Southwest,4/6/2020,#e6ab02,0.413181818,0.792272727,0.498636364
23,"Phoenix, AZ",Southwest,4/6/2020,#e6ab02,0.607727273,0.813181818,0.74
24,"Philadelphia, PA",Northeast,4/6/2020,#4daf4a,0.389090909,0.719545455,0.506363636
25,"San Antonio, TX",Southwest,4/6/2020,#e6ab02,0.331363636,0.801818182,0.387272727
26,"San Diego, CA",Pacific,4/6/2020,#984ea3,0.428636364,0.795,0.505454545
27,"Oakland, CA",Pacific,4/6/2020,#984ea3,0.616818182,0.69,0.878181818
28,"Minneapolis, MN",Midwest,4/6/2020,#377eb8,0.401363636,0.698181818,0.535
