"","week","metric","display_title","rolling_avg","region","color"
"1",2020-04-06,"downtown","Calgary, AB",0.43,"Canada","#DC4633"
"2",2020-04-06,"city","Calgary, AB",0.76,"Canada","#DC4633"
"3",2020-04-06,"relative","Calgary, AB",0.535,"Canada","#DC4633"
"4",2020-04-06,"downtown","Edmonton, AB",0.513181818181818,"Canada","#DC4633"
"5",2020-04-06,"city","Edmonton, AB",0.720909090909091,"Canada","#DC4633"
"6",2020-04-06,"relative","Edmonton, AB",0.702272727272727,"Canada","#DC4633"
"7",2020-04-06,"downtown","Halifax, NS",0.463636363636364,"Canada","#DC4633"
"8",2020-04-06,"city","Halifax, NS",0.796363636363636,"Canada","#DC4633"
"9",2020-04-06,"relative","Halifax, NS",0.560909090909091,"Canada","#DC4633"
"10",2020-04-06,"downtown","London, ON",0.36,"Canada","#DC4633"
"11",2020-04-06,"city","London, ON",0.66,"Canada","#DC4633"
"12",2020-04-06,"relative","London, ON",0.54,"Canada","#DC4633"
"13",2020-04-06,"downtown","Montreal, QC",0.352272727272727,"Canada","#DC4633"
"14",2020-04-06,"city","Montreal, QC",0.640454545454545,"Canada","#DC4633"
"15",2020-04-06,"relative","Montreal, QC",0.509090909090909,"Canada","#DC4633"
"16",2020-04-06,"downtown","Ottawa, ON",0.459090909090909,"Canada","#DC4633"
"17",2020-04-06,"city","Ottawa, ON",0.785,"Canada","#DC4633"
"18",2020-04-06,"relative","Ottawa, ON",0.546363636363636,"Canada","#DC4633"
"19",2020-04-06,"downtown","Quebec, QC",0.381363636363636,"Canada","#DC4633"
"20",2020-04-06,"city","Quebec, QC",0.618636363636364,"Canada","#DC4633"
"21",2020-04-06,"relative","Quebec, QC",0.593181818181818,"Canada","#DC4633"
"22",2020-04-06,"downtown","Toronto, ON",0.370909090909091,"Canada","#DC4633"
"23",2020-04-06,"city","Toronto, ON",0.679545454545455,"Canada","#DC4633"
"24",2020-04-06,"relative","Toronto, ON",0.522272727272727,"Canada","#DC4633"
"25",2020-04-06,"downtown","Vancouver, BC",0.385454545454545,"Canada","#DC4633"
"26",2020-04-06,"city","Vancouver, BC",0.557727272727273,"Canada","#DC4633"
"27",2020-04-06,"relative","Vancouver, BC",0.669090909090909,"Canada","#DC4633"
"28",2020-04-06,"downtown","Winnipeg, MB",0.584090909090909,"Canada","#DC4633"
"29",2020-04-06,"city","Winnipeg, MB",0.817272727272727,"Canada","#DC4633"
"30",2020-04-06,"relative","Winnipeg, MB",0.704090909090909,"Canada","#DC4633"
"31",2020-04-06,"downtown","Chicago, IL",0.293636363636364,"Midwest","#6FC7EA"
"32",2020-04-06,"city","Chicago, IL",0.688636363636364,"Midwest","#6FC7EA"
"33",2020-04-06,"relative","Chicago, IL",0.384090909090909,"Midwest","#6FC7EA"
"34",2020-04-06,"downtown","Cincinnati, OH",0.386363636363636,"Midwest","#6FC7EA"
"35",2020-04-06,"city","Cincinnati, OH",0.732727272727273,"Midwest","#6FC7EA"
"36",2020-04-06,"relative","Cincinnati, OH",0.498636363636364,"Midwest","#6FC7EA"
"37",2020-04-06,"downtown","Cleveland, OH",0.444545454545455,"Midwest","#6FC7EA"
"38",2020-04-06,"city","Cleveland, OH",0.712272727272727,"Midwest","#6FC7EA"
"39",2020-04-06,"relative","Cleveland, OH",0.584545454545455,"Midwest","#6FC7EA"
"40",2020-04-06,"downtown","Columbus, OH",0.383181818181818,"Midwest","#6FC7EA"
"41",2020-04-06,"city","Columbus, OH",0.722727272727273,"Midwest","#6FC7EA"
"42",2020-04-06,"relative","Columbus, OH",0.516363636363636,"Midwest","#6FC7EA"
"43",2020-04-06,"downtown","Detroit, MI",0.281363636363636,"Midwest","#6FC7EA"
"44",2020-04-06,"city","Detroit, MI",0.712272727272727,"Midwest","#6FC7EA"
"45",2020-04-06,"relative","Detroit, MI",0.357272727272727,"Midwest","#6FC7EA"
"46",2020-04-06,"downtown","Indianapolis, IN",0.375454545454545,"Midwest","#6FC7EA"
"47",2020-04-06,"city","Indianapolis, IN",0.734545454545455,"Midwest","#6FC7EA"
"48",2020-04-06,"relative","Indianapolis, IN",0.483181818181818,"Midwest","#6FC7EA"
"49",2020-04-06,"downtown","Kansas City, MO",1.00818181818182,"Midwest","#6FC7EA"
"50",2020-04-06,"city","Kansas City, MO",0.751818181818182,"Midwest","#6FC7EA"
"51",2020-04-06,"relative","Kansas City, MO",1.30045454545455,"Midwest","#6FC7EA"
"52",2020-04-06,"downtown","Louisville, KY",0.649545454545455,"Midwest","#6FC7EA"
"53",2020-04-06,"city","Louisville, KY",0.765454545454545,"Midwest","#6FC7EA"
"54",2020-04-06,"relative","Louisville, KY",0.837727272727273,"Midwest","#6FC7EA"
"55",2020-04-06,"downtown","Milwaukee, WI",0.544545454545455,"Midwest","#6FC7EA"
"56",2020-04-06,"city","Milwaukee, WI",0.762272727272727,"Midwest","#6FC7EA"
"57",2020-04-06,"relative","Milwaukee, WI",0.693181818181818,"Midwest","#6FC7EA"
"58",2020-04-06,"downtown","Minneapolis, MN",0.401363636363636,"Midwest","#6FC7EA"
"59",2020-04-06,"city","Minneapolis, MN",0.698181818181818,"Midwest","#6FC7EA"
"60",2020-04-06,"relative","Minneapolis, MN",0.535,"Midwest","#6FC7EA"
"61",2020-04-06,"downtown","Omaha, NE",0.61,"Midwest","#6FC7EA"
"62",2020-04-06,"city","Omaha, NE",0.801818181818182,"Midwest","#6FC7EA"
"63",2020-04-06,"relative","Omaha, NE",0.735,"Midwest","#6FC7EA"
"64",2020-04-06,"downtown","St. Louis, MO",0.314545454545455,"Midwest","#6FC7EA"
"65",2020-04-06,"city","St. Louis, MO",0.626363636363636,"Midwest","#6FC7EA"
"66",2020-04-06,"relative","St. Louis, MO",0.498181818181818,"Midwest","#6FC7EA"
"67",2020-04-06,"downtown","Wichita, KS",0.590909090909091,"Midwest","#6FC7EA"
"68",2020-04-06,"city","Wichita, KS",0.843181818181818,"Midwest","#6FC7EA"
"69",2020-04-06,"relative","Wichita, KS",0.687272727272727,"Midwest","#6FC7EA"
"70",2020-04-06,"downtown","Baltimore, MD",0.545,"Northeast","#8DBF2E"
"71",2020-04-06,"city","Baltimore, MD",0.876818181818182,"Northeast","#8DBF2E"
"72",2020-04-06,"relative","Baltimore, MD",0.613636363636364,"Northeast","#8DBF2E"
"73",2020-04-06,"downtown","Boston, MA",0.300909090909091,"Northeast","#8DBF2E"
"74",2020-04-06,"city","Boston, MA",0.625909090909091,"Northeast","#8DBF2E"
"75",2020-04-06,"relative","Boston, MA",0.415909090909091,"Northeast","#8DBF2E"
"76",2020-04-06,"downtown","New York, NY",0.311818181818182,"Northeast","#8DBF2E"
"77",2020-04-06,"city","New York, NY",0.747272727272727,"Northeast","#8DBF2E"
"78",2020-04-06,"relative","New York, NY",0.380909090909091,"Northeast","#8DBF2E"
"79",2020-04-06,"downtown","Philadelphia, PA",0.389090909090909,"Northeast","#8DBF2E"
"80",2020-04-06,"city","Philadelphia, PA",0.719545454545455,"Northeast","#8DBF2E"
"81",2020-04-06,"relative","Philadelphia, PA",0.506363636363636,"Northeast","#8DBF2E"
"82",2020-04-06,"downtown","Pittsburgh, PA",0.402727272727273,"Northeast","#8DBF2E"
"83",2020-04-06,"city","Pittsburgh, PA",0.725454545454545,"Northeast","#8DBF2E"
"84",2020-04-06,"relative","Pittsburgh, PA",0.529545454545455,"Northeast","#8DBF2E"
"85",2020-04-06,"downtown","Washington DC",0.660909090909091,"Northeast","#8DBF2E"
"86",2020-04-06,"city","Washington DC",1.07045454545455,"Northeast","#8DBF2E"
"87",2020-04-06,"relative","Washington DC",0.619545454545455,"Northeast","#8DBF2E"
"88",2020-04-06,"downtown","Bakersfield, CA",0.870909090909091,"Pacific","#00A189"
"89",2020-04-06,"city","Bakersfield, CA",1.06,"Pacific","#00A189"
"90",2020-04-06,"relative","Bakersfield, CA",0.816363636363636,"Pacific","#00A189"
"91",2020-04-06,"downtown","Fresno, CA",0.835454545454545,"Pacific","#00A189"
"92",2020-04-06,"city","Fresno, CA",1.02,"Pacific","#00A189"
"93",2020-04-06,"relative","Fresno, CA",0.818181818181818,"Pacific","#00A189"
"94",2020-04-06,"downtown","Honolulu, HI",0.899545454545455,"Pacific","#00A189"
"95",2020-04-06,"city","Honolulu, HI",0.802272727272727,"Pacific","#00A189"
"96",2020-04-06,"relative","Honolulu, HI",1.12818181818182,"Pacific","#00A189"
"97",2020-04-06,"downtown","Los Angeles, CA",0.508636363636364,"Pacific","#00A189"
"98",2020-04-06,"city","Los Angeles, CA",0.725909090909091,"Pacific","#00A189"
"99",2020-04-06,"relative","Los Angeles, CA",0.688636363636364,"Pacific","#00A189"
"100",2020-04-06,"downtown","Oakland, CA",0.616818181818182,"Pacific","#00A189"
"101",2020-04-06,"city","Oakland, CA",0.69,"Pacific","#00A189"
"102",2020-04-06,"relative","Oakland, CA",0.878181818181818,"Pacific","#00A189"
"103",2020-04-06,"downtown","Portland, OR",0.598181818181818,"Pacific","#00A189"
"104",2020-04-06,"city","Portland, OR",0.738636363636364,"Pacific","#00A189"
"105",2020-04-06,"relative","Portland, OR",0.772272727272727,"Pacific","#00A189"
"106",2020-04-06,"downtown","Sacramento, CA",0.531818181818182,"Pacific","#00A189"
"107",2020-04-06,"city","Sacramento, CA",0.951363636363636,"Pacific","#00A189"
"108",2020-04-06,"relative","Sacramento, CA",0.536363636363636,"Pacific","#00A189"
"109",2020-04-06,"downtown","San Diego, CA",0.428636363636364,"Pacific","#00A189"
"110",2020-04-06,"city","San Diego, CA",0.795,"Pacific","#00A189"
"111",2020-04-06,"relative","San Diego, CA",0.505454545454545,"Pacific","#00A189"
"112",2020-04-06,"downtown","San Francisco, CA",0.283181818181818,"Pacific","#00A189"
"113",2020-04-06,"city","San Francisco, CA",0.609090909090909,"Pacific","#00A189"
"114",2020-04-06,"relative","San Francisco, CA",0.420909090909091,"Pacific","#00A189"
"115",2020-04-06,"downtown","San Jose, CA",0.439090909090909,"Pacific","#00A189"
"116",2020-04-06,"city","San Jose, CA",0.742727272727273,"Pacific","#00A189"
"117",2020-04-06,"relative","San Jose, CA",0.568636363636364,"Pacific","#00A189"
"118",2020-04-06,"downtown","Seattle, WA",0.428181818181818,"Pacific","#00A189"
"119",2020-04-06,"city","Seattle, WA",0.613636363636364,"Pacific","#00A189"
"120",2020-04-06,"relative","Seattle, WA",0.686818181818182,"Pacific","#00A189"
"121",2020-04-06,"downtown","Atlanta, GA",0.336363636363636,"Southeast","#AB1368"
"122",2020-04-06,"city","Atlanta, GA",0.579545454545455,"Southeast","#AB1368"
"123",2020-04-06,"relative","Atlanta, GA",0.541818181818182,"Southeast","#AB1368"
"124",2020-04-06,"downtown","Charlotte, NC",0.460909090909091,"Southeast","#AB1368"
"125",2020-04-06,"city","Charlotte, NC",0.737272727272727,"Southeast","#AB1368"
"126",2020-04-06,"relative","Charlotte, NC",0.604090909090909,"Southeast","#AB1368"
"127",2020-04-06,"downtown","Jacksonville, FL",0.543636363636364,"Southeast","#AB1368"
"128",2020-04-06,"city","Jacksonville, FL",1.00818181818182,"Southeast","#AB1368"
"129",2020-04-06,"relative","Jacksonville, FL",0.538181818181818,"Southeast","#AB1368"
"130",2020-04-06,"downtown","Memphis, TN",0.507727272727273,"Southeast","#AB1368"
"131",2020-04-06,"city","Memphis, TN",0.799545454545455,"Southeast","#AB1368"
"132",2020-04-06,"relative","Memphis, TN",0.622727272727273,"Southeast","#AB1368"
"133",2020-04-06,"downtown","Miami, FL",0.527727272727273,"Southeast","#AB1368"
"134",2020-04-06,"city","Miami, FL",0.635,"Southeast","#AB1368"
"135",2020-04-06,"relative","Miami, FL",0.817272727272727,"Southeast","#AB1368"
"136",2020-04-06,"downtown","Nashville, TN",0.290909090909091,"Southeast","#AB1368"
"137",2020-04-06,"city","Nashville, TN",0.642727272727273,"Southeast","#AB1368"
"138",2020-04-06,"relative","Nashville, TN",0.398181818181818,"Southeast","#AB1368"
"139",2020-04-06,"downtown","New Orleans, LA",0.248181818181818,"Southeast","#AB1368"
