"city","date","ACTIVITY","normalized_distinct_clean","normalized_stops_clean"
"Philadelphia","11/13/2023","WORK",0.008500103,0.053403548
"Philadelphia","11/9/2023","WORK",0.010270942,0.064422996
"Fort Worth","11/16/2023","WORK",0.001712737,0.008390792
"Milwaukee","11/14/2023","WORK",0.005358388,0.027256797
"Milwaukee","11/17/2023","HOME",0.007855153,0.034845752
"Milwaukee","11/1/2023","NEITHER",0.001093499,0.000555101
"Toronto","11/28/2023","WORK",0.02551475,0.169013169
"San Antonio","11/22/2023","WORK",0.007276822,0.044974515
"Milwaukee","11/15/2023","HOME",0.006036027,0.027916161
"San Francisco","11/20/2023","HOME",0.00634623,0.036082073
"San Francisco","11/13/2023","WORK",0.004751961,0.029502842
"San Francisco","11/18/2023","NEITHER",0.001953013,0.001090429
"San Francisco","11/2/2023","NEITHER",0.001953749,0.001070624
"San Francisco","11/14/2023","WORK",0.004893209,0.028313121
"Boston","11/4/2023","NEITHER",0.0026665,0.001487702
"Boston","11/2/2023","HOME",0.014739089,0.087212165
"Boston","11/8/2023","NEITHER",0.002455947,0.00141466
"Toronto","11/7/2023","WORK",0.021176658,0.149574802
"Milwaukee","11/19/2023","WORK",0.004892226,0.027672679
"San Francisco","11/30/2023","WORK",0.005843028,0.040146808
"San Francisco","11/8/2023","WORK",0.00513637,0.033307897
"Boston","11/27/2023","NEITHER",0.002013253,0.001262327
"Boston","11/21/2023","NEITHER",0.001986865,0.001110559
"Boston","11/27/2023","WORK",0.008172458,0.051375309
"Boston","11/6/2023","HOME",0.013141788,0.079503657
"Boston","11/11/2023","HOME",0.014390736,0.078987535
"Boston","11/19/2023","NEITHER",0.002322111,0.001339443
"New York","11/3/2023","WORK",0.011924275,0.076026048
"New York","11/16/2023","NEITHER",0.002616328,0.001565429
"New York","11/9/2023","WORK",0.011121755,0.072763697
"Cleveland","11/17/2023","HOME",0.012002294,0.071046742
"Cleveland","11/12/2023","WORK",0.00905778,0.06272994
"Cleveland","11/25/2023","HOME",0.008819611,0.060138798
"Houston","11/21/2023","HOME",0.001709422,0.009409685
"Houston","11/5/2023","WORK",0.001741006,0.011081672
"Houston","11/29/2023","HOME",0.001888472,0.011713702
"Houston","11/28/2023","HOME",0.001535021,0.009141987
"Detroit","11/18/2023","WORK",0.002538792,0.014721824
"Toronto","11/21/2023","NEITHER",0.012565138,0.008409302
"Toronto","11/10/2023","HOME",0.038834893,0.208324934
"Philadelphia","11/25/2023","NEITHER",0.002297736,0.001337101
"Detroit","11/25/2023","WORK",0.00189014,0.011555109
"Philadelphia","11/26/2023","HOME",0.008333681,0.054399252
"San Antonio","11/23/2023","WORK",0.006991786,0.043590728
"Toronto","11/28/2023","NEITHER",0.012253857,0.008554378
"Toronto","11/11/2023","NEITHER",0.014911929,0.011298966
"Toronto","11/4/2023","WORK",0.023409179,0.154686268
"Philadelphia","11/6/2023","WORK",0.010146383,0.07016875
"Toronto","11/25/2023","NEITHER",0.013070815,0.008899627
"Vancouver","11/10/2023","HOME",0.046641485,0.255402514
"Vancouver","11/6/2023","HOME",0.039994886,0.23409929
"Miami","11/28/2023","NEITHER",0.000700093,0.000396515
"Miami","11/8/2023","WORK",0.002984624,0.020295339
"Miami","11/11/2023","WORK",0.002374919,0.014192678
"Miami","11/26/2023","HOME",0.003651957,0.020487302
"Omaha","11/10/2023","HOME",0.019676289,0.114977837
"Omaha","11/28/2023","NEITHER",0.001892779,0.001082962
"Omaha","11/30/2023","NEITHER",0.002109624,0.001041498
"Miami","11/27/2023","NEITHER",0.000664871,0.000376615
"Calgary","11/1/2023","HOME",0.041558289,0.228370459
"Albuquerque","11/9/2023","WORK",0.007608717,0.047371691
"Jacksonville","11/29/2023","WORK",0.002886657,0.017556211
"Milwaukee","11/21/2023","NEITHER",0.000717373,0.000357685
"Phoenix","11/14/2023","NEITHER",0.000783644,0.000373018
"Toronto","11/6/2023","WORK",0.021481336,0.15613592
"San Francisco","11/6/2023","NEITHER",0.001370272,0.000770666
"San Francisco","11/11/2023","WORK",0.005476874,0.02966239
"San Francisco","11/27/2023","NEITHER",0.00114639,0.000684657
"San Francisco","11/3/2023","NEITHER",0.001656294,0.000897366
"Boston","11/14/2023","HOME",0.011947482,0.062346714
"Boston","11/12/2023","NEITHER",0.003947482,0.002430106
"Boston","11/1/2023","NEITHER",0.002695195,0.001527667
"Boston","11/25/2023","NEITHER",0.00257763,0.001521563
"Boston","11/14/2023","WORK",0.009357315,0.052614586
"New York","11/16/2023","WORK",0.010272099,0.061955027
"New York","11/20/2023","HOME",0.01149277,0.066448819
"New York","11/10/2023","HOME",0.015360219,0.092875827
"New York","11/2/2023","HOME",0.014206766,0.087270826
"New York","11/3/2023","NEITHER",0.002282898,0.001256908
"New York","11/12/2023","HOME",0.010844614,0.071040169
"New York","11/28/2023","HOME",0.012096421,0.076109318
"New York","11/25/2023","WORK",0.008528179,0.056383776
"Cleveland","11/19/2023","WORK",0.01055851,0.069291582
"Houston","11/26/2023","WORK",0.000694685,0.004437726
"Houston","11/3/2023","WORK",0.002767093,0.014633273
"Houston","11/23/2023","NEITHER",0.000220608,0.000110861
"Houston","11/22/2023","NEITHER",0.000212389,0.000120805
"Detroit","11/5/2023","HOME",0.003713746,0.024403659
"Toronto","11/3/2023","HOME",0.037313033,0.223206719
"Philadelphia","11/28/2023","NEITHER",0.001766349,0.001069717
"San Antonio","11/21/2023","NEITHER",0.000924618,0.000482166
"Detroit","11/26/2023","NEITHER",0.000265697,0.00017203
"Toronto","11/11/2023","WORK",0.018040612,0.108281429
"Ottawa","11/3/2023","WORK",0.006397884,0.042764369
"Vancouver","11/17/2023","HOME",0.04244536,0.226067552
"Vancouver","11/16/2023","HOME",0.039606739,0.211678344
"Vancouver","11/15/2023","HOME",0.039855763,0.206397403
"Vancouver","11/6/2023","WORK",0.026745902,0.186524217
"Vancouver","11/4/2023","WORK",0.031707949,0.217331275
"Vancouver","11/18/2023","NEITHER",0.015167678,0.010486762
"Vancouver","11/26/2023","NEITHER",0.014059695,0.010056525
"San Antonio","11/9/2023","NEITHER",0.001075199,0.000512869
"Toronto","11/5/2023","NEITHER",0.013473637,0.009162215
"Vancouver","11/28/2023","WORK",0.030395905,0.195423451
"Ottawa","11/26/2023","WORK",0.004141687,0.028666937
"Miami","11/14/2023","HOME",0.00412254,0.022067613
"Miami","11/8/2023","HOME",0.003829118,0.023936049
"Miami","11/18/2023","WORK",0.00315873,0.01824099
"Miami","11/20/2023","WORK",0.002925452,0.016511546
"Miami","11/11/2023","NEITHER",0.00101549,0.00058743
"Omaha","11/14/2023","WORK",0.012749383,0.070388527
"Omaha","11/21/2023","NEITHER",0.001920287,0.000971676
"Miami","11/10/2023","HOME",0.004707982,0.026672438
"Omaha","11/1/2023","NEITHER",0.002926513,0.001375966
"Miami","11/24/2023","NEITHER",0.000846221,0.00048548
"Miami","11/9/2023","NEITHER",0.000809542,0.000464832
"Miami","11/23/2023","NEITHER",0.000759586,0.000429661
"Detroit","11/29/2023","NEITHER",0.000355821,0.000183262
"Calgary","11/6/2023","HOME",0.037091394,0.20255393
"Calgary","11/30/2023","HOME",0.045053686,0.218504173
"Calgary","11/5/2023","WORK",0.019877312,0.136321941
"Tulsa","11/24/2023","WORK",0.005908651,0.036341892
"Calgary","11/28/2023","WORK",0.028421659,0.169266647
"Detroit","11/13/2023","NEITHER",0.000439972,0.000250948
"Tulsa","11/21/2023","HOME",0.008570393,0.044422345
"Tulsa","11/21/2023","NEITHER",0.000811493,0.000367137
"Miami","11/26/2023","NEITHER",0.000598111,0.000369027
"Jacksonville","11/1/2023","WORK",0.003817512,0.021543469
"Jacksonville","11/9/2023","HOME",0.003405095,0.01850139
"Jacksonville","11/23/2023","NEITHER",0.000422874,0.000218157
"Louisville","11/20/2023","WORK",0.00227571,0.011244323
"Louisville","11/3/2023","WORK",0.004365727,0.024070532
"Louisville","11/4/2023","HOME",0.004294463,0.021126453
"Louisville","11/25/2023","WORK",0.002129479,0.010754779
"Louisville","11/6/2023","NEITHER",0.001153564,0.000485079
"Louisville","11/27/2023","WORK",0.002367331,0.012353621
"Nashville","11/5/2023","WORK",0.015030068,0.112818341
"Nashville","11/26/2023","WORK",0.007819609,0.053691844
"Nashville","11/2/2023","NEITHER",0.001661141,0.000862505
"Nashville","11/24/2023","NEITHER",0.001568562,0.000923131
"Colorado Springs","11/30/2023","HOME",0.015993809,0.103782962
"Colorado Springs","11/28/2023","HOME",0.014000986,0.09285339
"Austin","11/25/2023","HOME",0.006957004,0.044314876
"Austin","11/10/2023","WORK",0.009248164,0.056245731
"Austin","11/5/2023","HOME",0.011380291,0.070963686
"Austin","11/22/2023","WORK",0.005350354,0.034359955
"Charlotte","11/15/2023","WORK",0.003713366,0.019724983
"Charlotte","11/4/2023","WORK",0.006492125,0.03687516
"Charlotte","11/17/2023","WORK",0.004828031,0.025156833
"Charlotte","11/3/2023","NEITHER",0.001084749,0.000518739
"Albuquerque","11/6/2023","WORK",0.007819615,0.04632298
"Charlotte","11/9/2023","HOME",0.005504605,0.029254109
"Albuquerque","11/18/2023","NEITHER",0.001805689,0.000925422
"Milwaukee","11/18/2023","WORK",0.005620518,0.030021104
"Albuquerque","11/23/2023","HOME",0.005967385,0.033134859
"Albuquerque","11/15/2023","NEITHER",0.001610149,0.000787185
"Phoenix","11/13/2023","WORK",0.003100383,0.018318599
"Phoenix","11/3/2023","HOME",0.006210442,0.035386563
"Phoenix","11/24/2023","HOME",0.00281325,0.017246843
"Phoenix","11/23/2023","HOME",0.003592346,0.020609406
"Phoenix","11/18/2023","NEITHER",0.000883016,0.000465213
"Indianapolis","11/30/2023","HOME",0.007401837,0.041372759
"New York","11/21/2023","WORK",0.010127836,0.060419256
"New York","11/27/2023","HOME",0.01102571,0.063244012
"Cleveland","11/8/2023","WORK",0.008284589,0.060778772
"Detroit","11/29/2023","HOME",0.002602448,0.015834833
"Toronto","11/8/2023","WORK",0.022309534,0.159447953
"Detroit","11/21/2023","HOME",0.002493918,0.013233337
"San Antonio","11/17/2023","WORK",0.009168027,0.05012706
"San Antonio","11/5/2023","HOME",0.011112229,0.07530137
"Philadelphia","11/24/2023","NEITHER",0.002247154,0.001344205
"Toronto","11/24/2023","NEITHER",0.011535134,0.007951146
"Toronto","11/8/2023","NEITHER",0.017524481,0.011542179
"Vancouver","11/3/2023","HOME",0.045866383,0.279706429
"Ottawa","11/25/2023","HOME",0.008173689,0.042447859
"Ottawa","11/8/2023","HOME",0.008445842,0.046352999
"Ottawa","11/13/2023","HOME",0.007988608,0.041564083
"Ottawa","11/28/2023","WORK",0.006424565,0.042402599
"Vancouver","11/11/2023","HOME",0.036514544,0.163256942
"Ottawa","11/4/2023","WORK",0.005664059,0.03229487
"Ottawa","11/1/2023","WORK",0.00713541,0.043791964
"Detroit","11/20/2023","NEITHER",0.000357659,0.000179949
"Ottawa","11/24/2023","NEITHER",0.002538136,0.001602749
"Miami","11/6/2023","HOME",0.004106171,0.023856106
"Miami","11/21/2023","HOME",0.004084313,0.02240128
"Miami","11/5/2023","HOME",0.004026681,0.026379982
"Miami","11/11/2023","HOME",0.003258712,0.017325291
"Miami","11/1/2023","NEITHER",0.00075721,0.000418558
"Miami","11/10/2023","WORK",0.003693779,0.022910898
"Omaha","11/5/2023","WORK",0.014042213,0.095534093
"Omaha","11/10/2023","WORK",0.016406898,0.103763749
"Omaha","11/14/2023","NEITHER",0.00208162,0.000998348
"Omaha","11/10/2023","NEITHER",0.002835931,0.00136788
"Miami","11/2/2023","NEITHER",0.000912278,0.000473474
"Calgary","11/10/2023","WORK",0.029528835,0.177208279
"Calgary","11/28/2023","HOME",0.041743423,0.207152067
"Tulsa","11/16/2023","HOME",0.011198087,0.051074395
"Tulsa","11/10/2023","WORK",0.01085659,0.057766012
"Tulsa","11/24/2023","HOME",0.006936661,0.040049088
"Tulsa","11/11/2023","WORK",0.008721507,0.041808467
"Philadelphia","11/29/2023","HOME",0.010958878,0.070173383
"Milwaukee","11/30/2023","HOME",0.006483158,0.035526311
"Milwaukee","11/1/2023","WORK",0.005923396,0.034170449
"San Antonio","11/10/2023","WORK",0.008410651,0.053946941
"Milwaukee","11/14/2023","HOME",0.006595713,0.030955836
"Milwaukee","11/2/2023","HOME",0.00741926,0.042901648
"Milwaukee","11/27/2023","WORK",0.0040514,0.021374667
"Milwaukee","11/29/2023","HOME",0.006131535,0.031628853
"Toronto","11/12/2023","HOME",0.03057562,0.185682026
"San Antonio","11/28/2023","WORK",0.009434183,0.065471946
"Milwaukee","11/9/2023","HOME",0.007025534,0.0382792
"San Francisco","11/25/2023","HOME",0.006871914,0.039980832
"Boston","11/19/2023","HOME",0.012160645,0.074249793
"Milwaukee","11/7/2023","WORK",0.004995576,0.031327226
"Toronto","11/9/2023","WORK",0.023217584,0.157330233
"San Antonio","11/23/2023","HOME",0.00824164,0.048276668
"San Antonio","11/9/2023","HOME",0.007592849,0.04491827
"San Francisco","11/2/2023","WORK",0.007126417,0.049820519
"San Francisco","11/1/2023","HOME",0.008928057,0.055909482
"San Francisco","11/6/2023","WORK",0.005758033,0.040140922
"San Francisco","11/29/2023","NEITHER",0.001652515,0.000952162
"San Francisco","11/26/2023","WORK",0.004225105,0.028008548
"San Francisco","11/16/2023","NEITHER",0.001950686,0.00108129
"Boston","11/10/2023","WORK",0.012596827,0.076680631
"Boston","11/16/2023","WORK",0.00991219,0.05845379
"Boston","11/20/2023","WORK",0.008341165,0.04882985
"Boston","11/8/2023","WORK",0.008986898,0.058836624
"Boston","11/2/2023","WORK",0.011503981,0.075245711
"Boston","11/17/2023","NEITHER",0.002904631,0.001648961
"Boston","11/23/2023","HOME",0.010064468,0.058733245
"Boston","11/24/2023","NEITHER",0.002885059,0.001817886
"Boston","11/26/2023","HOME",0.009190674,0.053277022
"Boston","11/9/2023","WORK",0.011202634,0.07078251
"New York","11/9/2023","HOME",0.014056897,0.085746849
"New York","11/5/2023","NEITHER",0.002208343,0.001304866
"New York","11/14/2023","NEITHER",0.001981102,0.001062529
"New York","11/16/2023","HOME",0.013224011,0.074929261
"New York","11/17/2023","HOME",0.013643064,0.075794893
"Cleveland","11/20/2023","WORK",0.008801859,0.056114018
"Cleveland","11/6/2023","WORK",0.008454205,0.060132165
"Houston","11/1/2023","NEITHER",0.000295641,0.000149578
"Houston","11/6/2023","WORK",0.001830518,0.010024295
"Houston","11/17/2023","WORK",0.002492979,0.012520153
"Detroit","11/27/2023","HOME",0.00228965,0.012990503
"Detroit","11/28/2023","HOME",0.00247111,0.014906525
"Detroit","11/25/2023","NEITHER",0.000416046,0.000210585
"Toronto","11/23/2023","WORK",0.024421869,0.154869671
"Philadelphia","11/27/2023","WORK",0.008196288,0.052493985
"San Antonio","11/20/2023","NEITHER",0.00091746,0.000500004
"Ottawa","11/8/2023","NEITHER",0.003567045,0.002206025
"Philadelphia","11/20/2023","NEITHER",0.001825725,0.001104896
"Ottawa","11/5/2023","WORK",0.004500132,0.031723756
"Vancouver","11/1/2023","HOME",0.04460803,0.257244573
"Miami","11/23/2023","HOME",0.003508644,0.020466238
"Omaha","11/4/2023","WORK",0.016610155,0.099417491
"Omaha","11/29/2023","WORK",0.01216388,0.080003516
"Tulsa","11/20/2023","NEITHER",0.000902504,0.000455088
"Detroit","11/27/2023","NEITHER",0.000326179,0.000205846
"Nashville","11/21/2023","WORK",0.008598637,0.046981825
"Seattle","11/17/2023","HOME",0.007139982,0.034442769
"Charlotte","11/11/2023","NEITHER",0.001590228,0.000890739
"Charlotte","11/13/2023","HOME",0.004586188,0.024462821
"Charlotte","11/1/2023","WORK",0.004429446,0.023944053
"Philadelphia","11/14/2023","WORK",0.009260027,0.054545295
"Fort Worth","11/12/2023","HOME",0.00189858,0.010640559
"San Antonio","11/29/2023","WORK",0.008833269,0.059977159
"San Francisco","11/30/2023","HOME",0.007769353,0.046585427
"San Francisco","11/23/2023","WORK",0.005090684,0.034555352
"San Francisco","11/29/2023","HOME",0.007605298,0.044297446
"San Francisco","11/17/2023","NEITHER",0.001988115,0.0011288
"Boston","11/1/2023","WORK",0.010449961,0.068178738
"Boston","11/3/2023","WORK",0.012857208,0.080969623
"New York","11/7/2023","HOME",0.01323818,0.080517005
"New York","11/13/2023","NEITHER",0.002041108,0.001237915
"New York","11/8/2023","NEITHER",0.001867506,0.001089235
"Cleveland","11/30/2023","WORK",0.009666941,0.071507684
"Cleveland","11/10/2023","HOME",0.013185746,0.085089687
"Cleveland","11/2/2023","WORK",0.009695785,0.065564122
"Cleveland","11/13/2023","HOME",0.010747215,0.06961791
"Cleveland","11/18/2023","HOME",0.012183568,0.073768861
"Houston","11/21/2023","WORK",0.001497121,0.008564021
"Houston","11/13/2023","WORK",0.001584804,0.008314958
"Houston","11/20/2023","HOME",0.001609768,0.0083832
"Houston","11/21/2023","NEITHER",0.000162995,8.65318974311772e-05
"Philadelphia","11/1/2023","HOME",0.013119716,0.079068293
"Philadelphia","11/7/2023","HOME",0.01184261,0.075862782
"Detroit","11/16/2023","WORK",0.002514118,0.013754529
"Detroit","11/24/2023","HOME",0.002215024,0.012263754
"Detroit","11/12/2023","WORK",0.002614923,0.016155178
"Philadelphia","11/15/2023","WORK",0.008869776,0.052953655
"Toronto","11/29/2023","WORK",0.024665783,0.164170178
"San Antonio","11/13/2023","HOME",0.008176439,0.047462538
"San Antonio","11/1/2023","WORK",0.006663944,0.042067231
"San Antonio","11/6/2023","WORK",0.007840869,0.055680489
"Detroit","11/9/2023","HOME",0.003160695,0.017764433
"Detroit","11/1/2023","HOME",0.00313392,0.017567599
"Philadelphia","11/1/2023","WORK",0.010175789,0.066026501
"San Antonio","11/21/2023","WORK",0.007632358,0.046421081
"San Antonio","11/4/2023","WORK",0.011138934,0.073225287
"Philadelphia","11/7/2023","WORK",0.009526578,0.066169859
"Toronto","11/10/2023","NEITHER",0.013060165,0.008950217
"Vancouver","11/29/2023","HOME",0.047235764,0.257052658
"Vancouver","11/11/2023","NEITHER",0.015548005,0.011868518
"Vancouver","11/7/2023","HOME",0.042254308,0.255403605
"Vancouver","11/23/2023","HOME",0.045856161,0.237788264
"Toronto","11/4/2023","NEITHER",0.011449343,0.007392584
"Ottawa","11/15/2023","HOME",0.008561406,0.048385669
"Vancouver","11/29/2023","NEITHER",0.011198323,0.007589447
"Philadelphia","11/22/2023","NEITHER",0.002006853,0.001162761
"Vancouver","11/13/2023","NEITHER",0.017306876,0.011214174
"Toronto","11/29/2023","NEITHER",0.012525579,0.008866471
"Ottawa","11/30/2023","HOME",0.010932429,0.057366676
"Houston","11/27/2023","NEITHER",0.000147076,8.38717921150383e-05
"Ottawa","11/11/2023","WORK",0.004329402,0.020819711
"Philadelphia","11/30/2023","NEITHER",0.001947356,0.001106758
"Miami","11/7/2023","HOME",0.004272926,0.025837727
"Miami","11/4/2023","WORK",0.003671882,0.02345645
"Omaha","11/25/2023","HOME",0.013445371,0.070712326
"Omaha","11/7/2023","HOME",0.01550421,0.089620904
"Omaha","11/1/2023","WORK",0.01491733,0.091471435
"Omaha","11/14/2023","HOME",0.015415242,0.078478133
"Omaha","11/26/2023","WORK",0.008461823,0.056481372
"Omaha","11/15/2023","WORK",0.011777205,0.065445563
"Miami","11/9/2023","WORK",0.003117739,0.021389886
"Miami","11/21/2023","WORK",0.003203989,0.018674508
"Calgary","11/19/2023","WORK",0.018539985,0.112464731
"Detroit","11/30/2023","NEITHER",0.000404785,0.000210654
"Detroit","11/12/2023","NEITHER",0.00078612,0.000433665
"Calgary","11/30/2023","WORK",0.030823193,0.176416564
"Calgary","11/7/2023","WORK",0.027782501,0.197026432
"Tulsa","11/20/2023","HOME",0.008251005,0.042272619
"Detroit","11/24/2023","NEITHER",0.000519323,0.000285013
"Tulsa","11/14/2023","WORK",0.008772792,0.043621108
"Tulsa","11/3/2023","HOME",0.014647968,0.078032804
"Tulsa","11/4/2023","NEITHER",0.000976526,0.000458298
"Albuquerque","11/6/2023","HOME",0.00966957,0.053275177
"Albuquerque","11/20/2023","HOME",0.007810705,0.044084251
"Jacksonville","11/19/2023","WORK",0.002784558,0.017431361
"Jacksonville","11/17/2023","NEITHER",0.000555933,0.000257448
"Jacksonville","11/28/2023","HOME",0.002943302,0.016353538
"Jacksonville","11/6/2023","HOME",0.003549813,0.018049016
"Cleveland","11/22/2023","NEITHER",0.001731741,0.000964403
"Louisville","11/8/2023","HOME",0.003734684,0.01816664
"Nashville","11/28/2023","WORK",0.010263913,0.068171092
"Nashville","11/25/2023","NEITHER",0.001562683,0.000890864
"Colorado Springs","11/24/2023","HOME",0.011455297,0.071122846
"Colorado Springs","11/2/2023","HOME",0.019780269,0.122943033
"Colorado Springs","11/25/2023","WORK",0.008881751,0.060164755
"Colorado Springs","11/18/2023","NEITHER",0.002142448,0.001106953
"Colorado Springs","11/2/2023","WORK",0.016453723,0.110710017
"Colorado Springs","11/21/2023","WORK",0.012682104,0.077013054
"Colorado Springs","11/7/2023","NEITHER",0.002110259,0.001183439
"Austin","11/12/2023","WORK",0.008693532,0.057284506
"Seattle","11/17/2023","WORK",0.005483447,0.028675318
"Seattle","11/12/2023","HOME",0.006177536,0.036021889
"Charlotte","11/8/2023","WORK",0.003374973,0.019124591
"Charlotte","11/25/2023","HOME",0.004417777,0.023088376
"Austin","11/2/2023","WORK",0.007817032,0.047775204
"Austin","11/28/2023","NEITHER",0.00098908,0.000525908
"Albuquerque","11/12/2023","NEITHER",0.002236886,0.001224346
"San Jose","11/23/2023","NEITHER",0.001904001,0.001119668
"San Jose","11/10/2023","HOME",0.011949978,0.07193125
"Albuquerque","11/24/2023","NEITHER",0.00148846,0.000844786
"Tampa","11/18/2023","HOME",0.003340126,0.016754337
"Charlotte","11/6/2023","NEITHER",0.001052416,0.000494474
"San Francisco","11/14/2023","NEITHER",0.001494109,0.000841885
"Boston","11/23/2023","WORK",0.007714877,0.049930529
"Boston","11/18/2023","NEITHER",0.002738747,0.001597883
"New York","11/5/2023","HOME",0.011354967,0.078694668
"Houston","11/27/2023","HOME",0.001436962,0.007437007
"Houston","11/14/2023","HOME",0.002332601,0.011385999
"Houston","11/23/2023","WORK",0.001145844,0.007303554
"Philadelphia","11/6/2023","HOME",0.01278323,0.082801137
"Philadelphia","11/22/2023","HOME",0.010881319,0.064594258
"Philadelphia","11/17/2023","WORK",0.009977065,0.060646623
"Detroit","11/10/2023","NEITHER",0.000607703,0.000290219
"San Antonio","11/7/2023","HOME",0.007957911,0.051922634
"Detroit","11/19/2023","NEITHER",0.000405953,0.000212497
"Detroit","11/5/2023","NEITHER",0.000577095,0.000289629
"Philadelphia","11/21/2023","NEITHER",0.001811885,0.001003659
"Vancouver","11/28/2023","HOME",0.046038923,0.246480331
"Vancouver","11/22/2023","HOME",0.04712933,0.254625967
"Vancouver","11/8/2023","NEITHER",0.017977325,0.011411075
"Philadelphia","11/15/2023","NEITHER",0.001979506,0.001137133
"Vancouver","11/15/2023","NEITHER",0.015878111,0.010520036
"Detroit","11/4/2023","WORK",0.00337584,0.019797594
"Toronto","11/15/2023","NEITHER",0.015839767,0.011121227
"Ottawa","11/12/2023","HOME",0.006406328,0.032643073
"Ottawa","11/4/2023","HOME",0.00842143,0.042259337
"Miami","11/23/2023","WORK",0.00271765,0.017301897
