"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"1","Albuquerque",1.03037967104251,2023-01-09,"downtown","Southwest","medium","Albuquerque, NM"
"2","Atlanta",0.401097320639562,2023-01-09,"downtown","Southeast","medium","Atlanta, GA"
"3","Austin",0.539862723095657,2023-01-09,"downtown","Southwest","large","Austin, TX"
"4","Bakersfield",1.32056020507881,2023-01-09,"downtown","Pacific","medium","Bakersfield, CA"
"5","Baltimore",0.866800674342625,2023-01-09,"downtown","Northeast","medium","Baltimore, MD"
"6","Boston",0.522788482037833,2023-01-09,"downtown","Northeast","medium","Boston, MA"
"7","Calgary",0.504727336311156,2023-01-09,"downtown","Canada","large","Calgary, AB"
"8","Charlotte",0.545202144796372,2023-01-09,"downtown","Southeast","large","Charlotte, NC"
"9","Chicago",0.589091961305608,2023-01-09,"downtown","Midwest","large","Chicago, IL"
"10","Cincinnati",0.776391164026712,2023-01-09,"downtown","Midwest","medium","Cincinnati, OH"
"11","Cleveland",0.504815975426862,2023-01-09,"downtown","Midwest","medium","Cleveland, OH"
"12","Colorado Springs",0.691473539379689,2023-01-09,"downtown","Southwest","medium","Colorado Springs, CO"
"13","Columbus",1.22469868641358,2023-01-09,"downtown","Midwest","large","Columbus, OH"
"14","Dallas",1.55627981212874,2023-01-09,"downtown","Southwest","large","Dallas, TX"
"15","Denver",0.652955451756429,2023-01-09,"downtown","Southwest","large","Denver, CO"
"16","Detroit",0.51603643039173,2023-01-09,"downtown","Midwest","medium","Detroit, MI"
"17","Edmonton",0.588692964567052,2023-01-09,"downtown","Canada","large","Edmonton, AB"
"18","El Paso",0.96321023610549,2023-01-09,"downtown","Southwest","medium","El Paso, TX"
"19","Fort Worth",0.768075794875668,2023-01-09,"downtown","Southwest","large","Fort Worth, TX"
"20","Fresno",1.28362456720839,2023-01-09,"downtown","Pacific","medium","Fresno, CA"
"21","Halifax",0.713235505337344,2023-01-09,"downtown","Canada","medium","Halifax, NS"
"22","Honolulu",0.853070373963121,2023-01-09,"downtown","Pacific","medium","Honolulu, HI"
"23","Houston",0.617116186632729,2023-01-09,"downtown","Southwest","large","Houston, TX"
"24","Indianapolis",0.466841115142457,2023-01-09,"downtown","Midwest","large","Indianapolis, IN"
"25","Jacksonville",0.775662232247624,2023-01-09,"downtown","Southeast","large","Jacksonville, FL"
"26","Kansas City",0.553132107956393,2023-01-09,"downtown","Midwest","medium","Kansas City, MO"
