"city","Recovery_Rate_weekends","Recovery_Rate_weekdays","Recovery_Rate_Working_Hours","Recovery_Rate_after_working_hours_weekdaynights_wholeweekends","Recovery_rate_total","display_title","region"
"Albuquerque",0.763386067,0.637356014,0.610360927,0.767518676,0.66737996,"Albuquerque, NM","Southwest"
"Atlanta",1.017801431,0.811962853,0.789418492,0.989791195,0.857748374,"Atlanta, GA","Southeast"
"Austin",0.839758166,0.684143809,0.602535475,0.873389878,0.727699309,"Austin, TX","Southwest"
"Bakersfield",1.053728149,0.914802242,0.904360401,1.001327631,0.949986155,"Bakersfield, CA","Pacific"
"Baltimore",0.766026446,0.652683031,0.611038052,0.80070355,0.681477573,"Baltimore, MD","Northeast"
"Boston",0.923411587,0.639815389,0.606422935,0.893869014,0.705979121,"Boston, MA","Northeast"
"Charlotte",1.173224469,0.629185436,0.573802805,1.102433962,0.751489347,"Charlotte, NC","Southeast"
"Chicago",0.956158903,0.55261264,0.526673686,0.915017854,0.61999148,"Chicago, IL","Midwest"
"Cincinnati",0.862261768,0.597705303,0.57249057,0.841851086,0.650567609,"Cincinnati, OH","Midwest"
"Cleveland",1.0249877,0.701867986,0.661831,0.982225907,0.783234886,"Cleveland, OH","Midwest"
"Colorado Springs",1.03983306,0.82708187,0.825276434,0.954997388,0.877383211,"Colorado Springs, CO","Southwest"
"Columbus",0.630918546,0.547286446,0.511333079,0.678142634,0.567753602,"Columbus, OH","Midwest"
"Dallas",0.979402627,0.61642476,0.584262358,0.937560512,0.696691256,"Dallas, TX","Southwest"
"Denver",0.778656705,0.639841853,0.588973077,0.819148092,0.676543925,"Denver, CO","Southwest"
"Detroit",0.916460105,0.566933135,0.518753892,0.890736932,0.65491452,"Detroit, MI","Midwest"
"El Paso",1.098983761,0.928328309,0.903682962,1.060952493,0.972006692,"El Paso, TX","Southwest"
"Fort Worth",1.012395957,0.73374271,0.715474524,0.954056508,0.806420354,"Fort Worth, TX","Southwest"
"Fresno",0.751435057,0.707888321,0.689520459,0.774257262,0.722978026,"Fresno, CA","Pacific"
"Honolulu",0.981176735,0.718415108,0.697225026,0.960034557,0.761659169,"Honolulu, HI","Pacific"
"Houston",1.095092083,0.583809555,0.5549346,1.0468371,0.644221028,"Houston, TX","Southwest"
"Indianapolis",0.917636657,0.756549008,0.703494626,0.946664653,0.799774791,"Indianapolis, IN","Midwest"
"Jacksonville",1.212892523,0.605309991,0.581037279,1.086161156,0.70658685,"Jacksonville, FL","Southeast"
